bike,start_time,end_time,start_st,end_st
e_212_0,2017-07-01 07:18:32.974542,2017-07-01 07:26:40.675169,212,426
3349_14,2017-07-01 07:18:50.560468,2017-07-01 07:28:53.318543,3349,344
253_0,2017-07-01 07:18:51.910068,2017-07-01 07:28:50.871869,253,266
168_23,2017-07-01 07:18:52.101011,2017-07-01 07:26:16.946420,503,326
116_14,2017-07-01 07:19:13.918535,2017-07-01 07:29:34.566404,116,426
e_3233_1,2017-07-01 07:19:18.914163,2017-07-01 07:23:00.257741,3233,524
e_387_0,2017-07-01 07:19:24.377070,2017-07-01 07:35:21.975765,387,407
3233_19,2017-07-01 07:19:25.151212,2017-07-01 07:32:44.976520,3233,3162
3397_11,2017-07-01 07:19:33.797069,2017-07-01 07:25:00.754602,3397,3388
e_415_0,2017-07-01 07:19:34.518184,2017-07-01 07:21:01.071491,415,315
302_11,2017-07-01 07:19:37.479067,2017-07-01 07:38:35.170185,302,355
e_236_0,2017-07-01 07:19:37.683597,2017-07-01 07:24:46.528398,236,545
e_399_0,2017-07-01 07:20:02.900296,2017-07-01 07:26:23.059900,399,3418
380_19,2017-07-01 07:20:05.801745,2017-07-01 07:28:49.779403,380,483
e_3372_0,2017-07-01 07:20:10.216076,2017-07-01 07:26:26.363367,3372,3155
3409_17,2017-07-01 07:20:31.551316,2017-07-01 07:25:34.524693,3409,3321
266_11,2017-07-01 07:20:39.705781,2017-07-01 07:35:16.582418,339,491
e_363_1,2017-07-01 07:20:48.224724,2017-07-01 07:22:03.326100,363,3002
e_3289_0,2017-07-01 07:20:52.428195,2017-07-01 07:33:34.908256,3289,485
e_366_0,2017-07-01 07:20:54.887848,2017-07-01 07:24:14.965886,366,324
358_17,2017-07-01 07:21:03.130217,2017-07-01 07:24:54.217608,358,284
e_319_0,2017-07-01 07:21:04.585092,2017-07-01 07:42:07.667248,319,433
e_3016_0,2017-07-01 07:21:07.286531,2017-07-01 07:31:58.974656,3016,3429
482_19,2017-07-01 07:21:14.508767,2017-07-01 07:25:37.080477,482,446
402_19,2017-07-01 07:21:21.891247,2017-07-01 07:34:43.867675,402,523
e_336_0,2017-07-01 07:21:31.077639,2017-07-01 07:31:46.808031,336,433
417_11,2017-07-01 07:21:31.989001,2017-07-01 07:28:47.978182,417,377
3002_11,2017-07-01 07:21:37.858131,2017-07-01 07:33:13.250121,3002,3256
e_523_0,2017-07-01 07:21:48.273914,2017-07-01 07:28:46.132877,523,369
e_3093_0,2017-07-01 07:21:53.929061,2017-07-01 07:23:51.072235,3093,539
3423_13,2017-07-01 07:21:55.560164,2017-07-01 07:26:13.481465,3423,3418
e_444_0,2017-07-01 07:22:10.212450,2017-07-01 07:26:11.445687,444,545
127_15,2017-07-01 07:22:12.454335,2017-07-01 07:29:22.733194,127,3260
346_13,2017-07-01 07:22:13.391349,2017-07-01 07:30:47.399975,346,212
317_13,2017-07-01 07:22:20.164041,2017-07-01 07:38:44.496244,537,529
527_14,2017-07-01 07:22:20.939005,2017-07-01 07:37:51.656852,527,480
173_25,2017-07-01 07:22:22.612363,2017-07-01 07:31:24.377702,173,305
e_519_1,2017-07-01 07:22:31.897520,2017-07-01 07:31:17.756195,519,401
3461_15,2017-07-01 07:22:38.218147,2017-07-01 07:39:53.284146,212,514
e_281_0,2017-07-01 07:22:41.491614,2017-07-01 07:28:33.500424,281,3141
447_11,2017-07-01 07:22:44.120205,2017-07-01 07:37:49.954013,447,388
545_13,2017-07-01 07:22:46.481907,2017-07-01 07:31:47.284891,545,472
e_279_0,2017-07-01 07:22:56.797015,2017-07-01 07:25:41.952325,279,264
487_16,2017-07-01 07:23:00.622707,2017-07-01 07:27:03.349953,487,2003
444_13,2017-07-01 07:23:13.215421,2017-07-01 07:25:53.009199,444,446
e_505_0,2017-07-01 07:23:29.236856,2017-07-01 07:28:08.041273,505,382
522_25,2017-07-01 07:23:42.280568,2017-07-01 07:32:15.504791,477,281
e_3125_0,2017-07-01 07:23:43.383400,2017-07-01 07:49:20.270980,3125,523
e_259_0,2017-07-01 07:23:58.308996,2017-07-01 07:46:22.028018,259,174
3256_10,2017-07-01 07:24:02.604093,2017-07-01 07:51:25.315735,3256,528
238_15,2017-07-01 07:24:09.788209,2017-07-01 07:26:03.553458,238,405
e_335_0,2017-07-01 07:24:14.017125,2017-07-01 07:30:23.353058,335,168
e_476_0,2017-07-01 07:24:27.034300,2017-07-01 07:36:39.434470,476,3286
e_3282_0,2017-07-01 07:25:00.815322,2017-07-01 07:29:48.470955,3282,3136
3435_21,2017-07-01 07:25:04.906564,2017-07-01 07:32:35.410773,3435,350
e_380_0,2017-07-01 07:25:08.668706,2017-07-01 07:32:33.474330,380,151
e_306_0,2017-07-01 07:25:26.932853,2017-07-01 07:30:14.446952,306,387
e_312_1,2017-07-01 07:25:27.791368,2017-07-01 07:46:27.923647,312,3223
e_3134_0,2017-07-01 07:25:28.394327,2017-07-01 07:37:35.245139,3134,3118
e_3105_0,2017-07-01 07:25:30.909393,2017-07-01 07:34:07.440993,3105,282
3454_11,2017-07-01 07:25:36.261860,2017-07-01 07:32:16.552848,3454,3110
e_3165_0,2017-07-01 07:25:41.823651,2017-07-01 07:31:02.988351,3165,3360
523_25,2017-07-01 07:25:50.441462,2017-07-01 07:39:16.753094,523,377
264_13,2017-07-01 07:25:52.121963,2017-07-01 07:32:29.457971,264,361
e_397_0,2017-07-01 07:25:54.329339,2017-07-01 07:34:45.303927,397,3453
514_25,2017-07-01 07:25:59.240723,2017-07-01 07:30:17.933507,514,508
e_514_0,2017-07-01 07:26:07.752863,2017-07-01 07:41:35.083633,514,2008
389_13,2017-07-01 07:26:20.121578,2017-07-01 07:34:50.096415,312,358
410_17,2017-07-01 07:26:23.028565,2017-07-01 07:42:27.167243,410,3224
428_14,2017-07-01 07:26:24.915120,2017-07-01 07:30:15.197607,428,150
312_14,2017-07-01 07:26:45.981639,2017-07-01 07:35:40.500176,312,504
387_19,2017-07-01 07:26:47.255399,2017-07-01 07:38:53.859376,387,406
e_407_0,2017-07-01 07:26:49.442828,2017-07-01 07:36:10.637004,407,3315
e_410_0,2017-07-01 07:27:11.067625,2017-07-01 07:30:05.240574,410,428
408_11,2017-07-01 07:27:13.463701,2017-07-01 07:44:04.034356,408,442
3368_14,2017-07-01 07:27:28.380671,2017-07-01 07:40:15.312996,3368,3352
e_499_0,2017-07-01 07:27:31.615440,2017-07-01 07:42:43.613331,499,3367
410_16,2017-07-01 07:27:34.068433,2017-07-01 07:29:34.128020,410,312
3053_11,2017-07-01 07:27:59.989008,2017-07-01 07:38:29.223547,3053,437
e_503_0,2017-07-01 07:28:04.296473,2017-07-01 07:36:33.225286,503,525
e_3254_0,2017-07-01 07:28:05.838399,2017-07-01 07:40:42.497471,3254,3479
3159_15,2017-07-01 07:28:10.500005,2017-07-01 07:36:28.474016,3159,495
e_3466_0,2017-07-01 07:28:13.579261,2017-07-01 07:31:21.257326,3466,153
455_19,2017-07-01 07:28:13.815314,2017-07-01 07:40:38.561967,455,487
