stationid,tripsin,tripsout,tripsfailedin,tripsfailedout,tripsfailedout_battery,trips_failedout_destinationfull,station_capacity,demand,percent,edocks
3295,12303,12311,0,3087,0,95,59,27701,0.001634317,1
3431,12732,12738,27,2096,0,324,23,27593,0.001627945,1
311,12806,12809,186,1624,0,698,31,27425,0.001618034,1
357,12830,12836,54,1648,0,458,27,27368,0.001614671,1
422,12495,12515,0,2296,0,290,55,27306,0.001611013,1
449,12538,12543,17,2172,0,288,30,27270,0.001608889,1
455,12192,12193,77,2059,0,429,39,26521,0.001564699,1
79,12628,12618,172,1033,0,402,33,26451,0.001560569,1
398,12549,12536,249,1063,0,855,31,26397,0.001557383,1
3119,12525,12521,119,1140,0,404,45,26305,0.001551955,1
330,12320,12314,159,1419,0,532,39,26212,0.001546468,1
152,12303,12290,139,1466,0,499,30,26198,0.001545642,1
228,12065,12076,130,1900,0,190,55,26171,0.00154405,1
254,12435,12440,82,1130,0,363,31,26087,0.001539094,1
3175,11830,11829,13,2052,0,172,31,25724,0.001517677,1
3156,11492,11506,2,2510,0,310,37,25510,0.001505052,1
3459,11652,11660,82,2073,0,215,34,25467,0.001502515,1
3360,11442,11443,31,2410,0,127,25,25326,0.001494196,1
150,11542,11543,337,1716,0,440,29,25138,0.001483104,1
3440,11786,11791,111,1384,0,654,43,25072,0.00147921,1
391,11015,11019,0,3027,0,570,31,25061,0.001478561,1
415,11562,11576,130,1603,0,366,42,24871,0.001467351,1
323,11463,11472,68,1730,0,552,39,24733,0.00145921,1
3132,11340,11354,62,1915,0,166,35,24671,0.001455552,1
3129,11529,11539,12,1302,0,266,31,24382,0.001438501,1
276,11430,11425,196,1253,0,313,25,24304,0.001433899,1
3423,11354,11363,72,1274,0,364,29,24063,0.001419681,1
3418,11010,11019,69,1629,0,319,33,23727,0.001399857,1
264,10826,10834,148,1630,0,462,27,23438,0.001382807,1
360,10896,10912,113,1286,0,431,39,23207,0.001369178,1
2023,10791,10805,214,1389,0,209,36,23199,0.001368706,1
3323,10483,10498,2,1916,0,113,59,22899,0.001351006,1
324,10821,10797,542,533,0,521,51,22693,0.001338853,1
3226,9866,9865,0,2919,0,115,45,22650,0.001336316,1
3136,10226,10245,5,1848,0,142,47,22324,0.001317082,1
308,10570,10573,46,1128,0,354,27,22317,0.001316669,1
392,10656,10670,147,807,0,406,35,22280,0.001314486,1
389,10492,10476,110,1196,0,554,27,22274,0.001314132,1
3176,9985,9989,66,2232,0,208,30,22272,0.001314014,1
3086,10337,10338,97,1449,0,855,25,22221,0.001311005,1
282,10444,10446,154,1012,0,527,27,22056,0.001301271,1
481,10230,10229,99,1312,0,521,25,21870,0.001290297,1
3161,9000,9024,0,3713,0,145,59,21737,0.00128245,1
321,10134,10141,123,1328,0,443,27,21726,0.001281801,1
