bike,start_time,end_time,start_st,end_st
3379_9,2017-07-04 11:22:04.835306,2017-07-04 11:26:03.196028,152,319
3139_17,2017-07-04 11:43:08.661445,2017-07-04 11:47:20.574849,351,259
3152_19,2017-07-04 11:44:36.600050,2017-07-04 11:47:50.467374,351,376
151_2,2017-07-04 11:47:42.778637,2017-07-04 11:51:02.597693,376,279
3307_14,2017-07-04 11:50:43.433307,2017-07-04 11:53:48.670221,415,315
3245_14,2017-07-04 11:51:23.359802,2017-07-04 11:55:02.431148,279,315
503_8,2017-07-04 12:06:08.354884,2017-07-04 12:12:17.766384,327,426
3397_2,2017-07-04 12:13:10.130582,2017-07-04 12:15:39.018545,260,315
519_9,2017-07-04 12:20:14.604429,2017-07-04 12:25:28.440507,337,319
454_15,2017-07-04 12:36:43.306508,2017-07-04 12:38:35.204650,249,248
252_14,2017-07-04 12:39:50.234719,2017-07-04 12:42:53.455491,309,152
3140_22,2017-07-04 12:42:58.598825,2017-07-04 12:45:15.688590,152,3461
320_13,2017-07-04 12:47:18.197052,2017-07-04 12:51:26.627002,309,426
479_0,2017-07-04 12:53:37.853700,2017-07-04 12:55:20.178473,319,195
3140_1,2017-07-04 12:52:13.955469,2017-07-04 12:56:26.660251,3002,304
405_7,2017-07-04 12:58:00.850369,2017-07-04 13:04:04.708077,387,320
537_0,2017-07-04 13:02:13.469958,2017-07-04 13:05:06.058016,3461,309
321_6,2017-07-04 13:06:45.534898,2017-07-04 13:09:29.816636,309,249
513_3,2017-07-04 13:10:43.793868,2017-07-04 13:17:01.279414,417,330
351_6,2017-07-04 13:23:01.731571,2017-07-04 13:25:50.176766,351,195
3160_14,2017-07-04 13:25:33.717278,2017-07-04 13:27:14.940754,351,306
3501_13,2017-07-04 13:23:48.611355,2017-07-04 13:28:07.644616,351,319
3082_6,2017-07-04 13:26:52.103878,2017-07-04 13:29:42.057430,319,195
296_0,2017-07-04 13:28:23.242488,2017-07-04 13:30:37.657558,152,3461
3417_0,2017-07-04 13:34:36.004138,2017-07-04 13:36:07.765917,387,224
168_10,2017-07-04 13:32:46.165290,2017-07-04 13:37:10.933899,387,309
348_10,2017-07-04 13:38:41.790566,2017-07-04 13:42:33.864633,3002,417
3058_6,2017-07-04 13:43:27.043231,2017-07-04 13:45:44.967184,360,306
520_19,2017-07-04 13:41:25.286008,2017-07-04 13:47:24.101772,3002,309
72_0,2017-07-04 13:44:44.525273,2017-07-04 13:47:51.389520,360,306
379_17,2017-07-04 13:44:54.552614,2017-07-04 13:47:57.581451,306,351
242_4,2017-07-04 13:47:39.503611,2017-07-04 13:50:32.091960,351,360
458_4,2017-07-04 13:48:17.575557,2017-07-04 13:51:00.097619,146,426
304_8,2017-07-04 13:48:50.266903,2017-07-04 13:52:07.704818,351,360
3430_3,2017-07-04 13:52:42.024388,2017-07-04 13:55:54.935098,330,146
267_16,2017-07-04 13:55:48.841573,2017-07-04 13:56:56.105808,146,249
278_3,2017-07-04 13:57:43.760817,2017-07-04 14:00:32.495644,146,3461
3156_7,2017-07-04 13:58:49.091372,2017-07-04 14:00:38.603753,3461,417
428_3,2017-07-04 13:59:32.581431,2017-07-04 14:03:15.325350,417,146
3370_4,2017-07-04 13:59:19.503460,2017-07-04 14:04:24.315595,259,304
427_6,2017-07-04 14:01:23.304552,2017-07-04 14:06:16.729563,3002,304
3263_26,2017-07-04 14:04:09.063312,2017-07-04 14:07:05.831853,146,330
3458_2,2017-07-04 14:13:33.000005,2017-07-04 14:16:24.533981,309,426
