start,starttime,end,allocation
3551,161,161,2.2247316089314268e-05
3552,746,746,0.00010308383728340648
3553,1073,1073,0.00014826937989959136
3554,56,56,7.73819690063105e-06
3556,55,55,7.600014813119781e-06
3560,48,48,6.6327402005409e-06
3561,87,87,1.2021841613480381e-05
3563,43,43,5.941829762984556e-06
3564,12,12,1.658185050135225e-06
3565,33,33,4.560008887871869e-06
3566,27,27,3.730916362804256e-06
3567,11,11,1.5200029626239562e-06
3568,29,29,4.007280537826794e-06
3570,26,26,3.5927342752929873e-06
3572,50,50,6.909104375563438e-06
3573,41,41,5.6654655879620185e-06
3577,16,16,2.2109134001803e-06
3586,4,4,5.52728350045075e-07
3588,39,39,5.389101412939481e-06
3589,19,19,2.625459662714106e-06
3591,6,6,8.290925250676125e-07
3592,25,25,3.454552187781719e-06
3593,35,35,4.8363730628944065e-06
3598,13,13,1.7963671376464936e-06
3602,34,34,4.698190975383138e-06
3603,15,15,2.0727313126690313e-06
3605,11,11,1.5200029626239562e-06
3609,10,10,1.3818208751126874e-06
3610,4,4,5.52728350045075e-07
3632,1744,1744,0.0002409895606196527
3635,670,670,9.258199863255007e-05
3637,117,117,1.6167304238818444e-05
